mol_id,smiles,homo-fopt,lumo-fopt,gap-fopt,e_tot-fopt
a-145,[N-](CCC)Br,1.7602291,3.31984579,1.55961669,-76116.51240819
a-146,COCCOCC[PH4-]CCCCNC(=N)N,-0.3781618,1.67384654,2.05200834,-28693.5715795
a-147,SCCC[InH-](C(CC)C)C(CC)C,-0.92602578,2.08723621,3.01326199,-184833.05938789
a-148,CCCC(S(=O)(=O)C(F)(F)F)(C(=O)[O-])N,-1.33395006,2.62350931,3.95745937,-35090.54963244
a-149,O[GaH-](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)CCCCN,-1.61971979,0.97265693,2.59237672,-85726.27082589
a-150,CCCC[InH2-]CCCS,-0.97184018,2.2582345,3.23007468,-180555.46242384
a-151,SCCC[SbH3-](CCCC(C(F)(F)F)(F)F)CCCCNC(=N)N,-1.08673938,1.57016102,2.6569004,-221733.25135271
a-152,C[BH-](c1ccc(cc1)[Si](CCC(F)(F)F)(C)C)CCCC(C(F)(F)F)(F)F,-1.94287405,1.80656982,3.74944387,-48354.09572645
a-153,OC(=O)c1ccccc1[GaH-](C(C(F)(F)F)(F)F)c1ccc(cc1)[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C)C,-2.54407073,0.30786624,2.85193697,-140380.04275964
a-154,O[AsH3-](CCCCNC(=N)N)S,-0.69166215,1.7125724500000001,2.4042346,-84751.72270714
a-155,CSCCC(C(=O)[O-])(CCN)CN,-0.7017532,2.29831557,3.00006877,-26529.03318766
a-156,CCCCCC(S(=O)(=O)C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)C(F)(F)F)C(=O)[O-],-2.30755925,0.58837711,2.89593636,-72828.55809826
a-157,FC(c1cc(cc(c1)C(F)(F)F)[InH-](S(=O)(=O)C(C(F)(F)F)(F)F)c1ccc(cc1)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-2.89989374,0.10237592,3.00226966,-265314.82718459
a-158,COCCOCC[InH-](C(F)(F)F)N,-1.11449293,2.02078546,3.13527839,-182321.39881843
a-159,CCC[C-](C(C(F)(F)F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F,-0.57814552,1.50777337,2.08591889,-44596.69476817
a-160,SCCC[N-]S(=O)(=O)C(F)(F)F,-0.72745833,1.80756031,2.53501864,-39765.53433092
a-161,CSCC[InH-](S(=O)(=O)C)F,-1.53334355,2.18089604,3.71423959,-195028.77091552
a-162,C[PH3-](c1ccc(cc1)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CCOCCOC,-0.82198247,0.83934369,1.66132616,-67773.74521537
