mol_id,smiles,homo-fopt,lumo-fopt,gap-fopt,e_tot-fopt
c-161,CCCCCCCCCCCCOCc1c(CCCCS(=O)(=O)Cl)[nH]c[n+]1CCOC(=O)CCC,-8.43216151,-5.52103988,2.9111216300000002,-64413.29215836
c-162,BrCCCC1CC[NH+](CC1CCc1ccccc1)COc1cc(C)ccc1C(C)C,-8.17841266,-4.1103201,4.06809256,-103564.48674533
c-163,O=C(Nc1ccccc1)CC[NH+]1CCC(C1CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CCOCC(C(C(C(F)F)(F)F)(F)F)(F)F,-8.18426361,-4.53407392,3.65018969,-93670.01333049
c-164,CCCCOC(=O)[S+](C(=O)OCC)CCOCC,-9.26780111,-6.17648837,3.0913127400000002,-33929.37256002
c-165,CCCCc1cc(CCC(=O)Nc2ccccc2)n[nH+]c1C(C(C)C)(CO)C,-7.49409126,-6.80266973,0.6914215300000001,-32962.31458899
c-166,NCCCC1OCC([NH+]1C(=O)C)CCCc1ccccc1,-8.06518613,-6.54061793,1.5245682,-25136.07561138
c-167,OCCc1c(c[nH+]nc1CCF)CCc1ccccc1,-8.74945305,-7.58058879,1.16886426,-24656.23144763
c-168,CCCCCc1c2cccc(c2c[nH+]c1c1nnc(o1)SCCCCCCC)CCN,-8.11733838,-6.65561092,1.46172746,-45405.23827692
c-169,CCCCCOC(=O)C[PH+](CCc1ccccc1)C=C,-8.7637959,-6.09946579,2.66433011,-31460.35552066
c-170,NCC(C[S+](CCC(C(Br)(F)F)(Br)F)CCC(=C(F)F)F)O,-9.10452834,-5.2804474599999995,3.82408088,-185198.27667668
c-171,CCCCCCCCOC(=O)C[N+](=C1NCC(N1)C(=O)OCC)CC(=O)OC,-8.97575262,-4.84603599,4.12971663,-37010.13181851
c-172,CCOP(=O)(CCc1c[nH+]nc(c1CCC(F)(F)F)CCOCC(F)(F)F)OCC,-8.96551316,-6.91618951,2.04932365,-54857.60958986
c-173,CCCCOC[N+](=C1NCOCN1CC(O)C)CC,-9.58079423,-4.99885714,4.58193709,-24544.29224591
c-174,CCCCCCCCCCOCC1C(CNC(=[NH2+])N1C(C(C)C)(CO)C)c1nnc(o1)SCCCCCCC,-7.98046505,-4.48470994,3.49575511,-56518.46358165
c-175,OCCOCOCC1(CCOCC(F)(F)F)CSC(=[NH+]1)CC(=O)OC,-8.98932655,-5.9893572,2.9999693499999998,-47701.81582703
c-176,BrCCCC1C[NH+](C(C1)CCOCCOc1ccc(cc1)C(CC(C)(C)C)(C)C)c1ccccc1,-6.66726257,-5.26472803,1.40253454,-109889.58509546
